subnum,flanker_text,congruency,direction,Response_Time,Response,Accuracy
1,C C X C C,0,1,0.928782011003932,z,1
1,V V V V V,0,0,0.8319317190034781,slash,1
1,X X X X X,0,1,0.5026183820009464,z,1
1,C C B C C,1,0,0.6107757200079504,slash,1
1,B B B B B,0,0,0.67864673899021,slash,1
1,B B B B B,0,0,0.36193081000237726,slash,1
1,C C V C C,1,0,0.4656765530089615,z,0
1,V V B V V,0,0,0.5727533530007349,slash,1
1,X X C X X,0,1,0.5288707419967977,z,1
1,C C B C C,1,0,0.9490664599870797,slash,1
1,B B C B B,1,1,0.5341490550054004,z,1
1,V V C V V,1,1,0.5070371519977925,slash,0
1,X X C X X,0,1,1.2736328470055014,z,1
1,V V B V V,0,0,1.3263345839950489,slash,1
1,B B V B B,0,0,0.5189403789991047,slash,1
1,V V B V V,0,0,0.6268248440028401,slash,1
1,B B B B B,0,0,0.5026231319934595,slash,1
1,V V B V V,0,0,0.4185951319959713,slash,1
1,B B B B B,0,0,0.4293156240019016,slash,1
1,B B C B B,1,1,0.8868785860104254,z,1
1,X X X X X,0,1,1.0031848499929765,z,1
1,X X X X X,0,1,0.6073327959893504,z,1
1,X X X X X,0,1,0.6695604480046313,z,1
1,X X V X X,1,0,0.7803582310007187,slash,1
1,X X C X X,0,1,0.6287110089906491,z,1
1,B B V B B,0,0,2.421927193994634,slash,1
1,C C V C C,1,0,0.8721757730090758,slash,1
1,X X X X X,0,1,0.6324901839980157,z,1
1,B B V B B,0,0,0.5411208360019373,slash,1
1,C C C C C,0,1,0.42113923499709927,slash,0
1,X X C X X,0,1,0.6746281430096133,z,1
1,V V C V V,1,1,0.39662203600164503,z,1
1,C C X C C,0,1,0.6380316140130162,slash,0
1,C C X C C,0,1,0.5097283679933753,z,1
1,B B X B B,1,1,0.4184996109979693,z,1
1,V V V V V,0,0,0.5841357099998277,slash,1
1,X X X X X,0,1,0.5747093469981337,z,1
1,V V B V V,0,0,0.5861076830042293,slash,1
1,X X X X X,0,1,0.47693606300163083,z,1
1,V V B V V,0,0,0.7714247740077553,slash,1
1,B B B B B,0,0,0.7106556849903427,slash,1
1,B B V B B,0,0,0.8947371829999611,slash,1
1,B B V B B,0,0,0.4856834000092931,slash,1
1,B B B B B,0,0,0.4792575739993481,z,0
1,B B B B B,0,0,0.43022199800179806,slash,1
1,C C V C C,1,0,0.5260759269876871,slash,1
1,X X X X X,0,1,0.6134773320081877,z,1
1,X X X X X,0,1,0.5858589169947663,z,1
1,X X C X X,0,1,1.0146580809960142,z,1
1,V V V V V,0,0,0.6332228769897483,slash,1
1,C C X C C,0,1,0.4312559410027461,z,1
1,C C C C C,0,1,0.830796112990356,z,1
1,V V X V V,1,1,0.46656943300331477,z,1
1,X X C X X,0,1,0.3728975249978248,z,1
1,C C X C C,0,1,0.4343475710047642,z,1
1,X X C X X,0,1,0.4625034090131521,z,1
1,X X B X X,1,0,0.5822846530063543,slash,1
1,B B V B B,0,0,0.873358629993163,slash,1
1,B B V B B,0,0,0.5820603640022455,slash,1
1,C C C C C,0,1,0.49599422300525475,z,1
1,B B B B B,0,0,1.6106637709890492,slash,1
1,C C X C C,0,1,0.5161073380004382,z,1
1,V V V V V,0,0,0.6334427450055955,slash,1
1,X X C X X,0,1,0.5141067910008132,z,1
1,C C C C C,0,1,0.5840265799924964,z,1
1,B B B B B,0,0,0.538804841999081,slash,1
1,C C C C C,0,1,0.5562341579934582,z,1
1,C C C C C,0,1,0.586527343999478,z,1
1,X X C X X,0,1,0.5261728510085959,z,1
1,B B V B B,0,0,1.3304751479881816,slash,1
1,C C C C C,0,1,0.5539198570040753,z,1
1,C C X C C,0,1,0.3418727099924581,z,1
1,V V V V V,0,0,0.5259107210004004,slash,1
1,B B V B B,0,0,0.9278717929992126,slash,1
1,X X V X X,1,0,0.40726377100509126,slash,1
1,X X B X X,1,0,0.7643315940076718,slash,1
1,B B B B B,0,0,0.4933025579957757,slash,1
1,C C C C C,0,1,0.43899298399628606,z,1
1,V V B V V,0,0,0.5086812480003573,slash,1
1,V V B V V,0,0,0.47466752599575557,slash,1
1,V V V V V,0,0,0.5768199669983005,slash,1
1,C C C C C,0,1,0.7041555250034435,z,1
1,B B V B B,0,0,0.4960594000003766,slash,1
1,X X X X X,0,1,0.7128538770048181,z,1
1,C C X C C,0,1,0.631157649011584,z,1
1,C C B C C,1,0,0.49692291500105057,slash,1
1,C C X C C,0,1,0.7031210770073812,z,1
1,V V V V V,0,0,0.4801690039894311,slash,1
1,X X B X X,1,0,0.6700536770076724,slash,1
1,C C C C C,0,1,0.6804352890030714,z,1
1,C C X C C,0,1,0.5589861629996449,z,1
1,X X C X X,0,1,0.5781792359921383,z,1
1,X X V X X,1,0,0.5149695279978914,slash,1
1,V V X V V,1,1,0.8728613920102362,z,1
1,V V V V V,0,0,1.3721928240120178,slash,1
1,V V V V V,0,0,0.6199610530020436,slash,1
1,B B X B B,1,1,0.93364727399603,z,1
1,V V B V V,0,0,0.52607180699124,slash,1
1,V V V V V,0,0,0.8899084589938866,slash,1
1,V V B V V,0,0,0.5676990959909745,z,0
